customer_id,store_id,first_name,last_name,email,active,address,district,city,country,zip,phone
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,1913 Hanoi Way,Nagasaki,Sasebo,Japan,35200,28303384290
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,1121 Loja Avenue,California,San Bernardino,United States,17886,838635286649
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,692 Joliet Street,Attika,Athenai,Greece,83579,448477190408
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,1,1566 Inegl Manor,Mandalay,Myingyan,Myanmar,53561,705814003527
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,53 Idfu Parkway,Nantou,Nantou,Taiwan,42399,10655648674
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,1,1795 Santiago de Compostela Way,Texas,Laredo,United States,18743,860452626434
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,900 Santiago de Compostela Parkway,Central Serbia,Kragujevac,Yugoslavia,93896,716571220373
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,1,478 Joliet Way,Hamilton,Hamilton,New Zealand,77948,657282285970
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,1,613 Korolev Drive,Masqat,Masqat,Oman,45844,380657522649
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,1531 Sal Drive,Esfahan,Esfahan,Iran,53628,648856936185
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1,1542 Tarlac Parkway,Kanagawa,Sagamihara,Japan,1027,635297277345
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,808 Bhopal Manor,Haryana,Yamuna Nagar,India,10672,465887807014
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1,270 Amroha Parkway,Osmaniye,Osmaniye,Turkey,29610,695479687538
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,770 Bydgoszcz Avenue,California,Citrus Heights,United States,16266,517338314235
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,419 Iligan Lane,Madhya Pradesh,Bhopal,India,72878,990911107354
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,360 Toulouse Parkway,England,Southend-on-Sea,United Kingdom,54308,949312333307
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1,270 Toulon Boulevard,Kalmykia,Elista,Russian Federation,81766,407752414682
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,1,320 Brest Avenue,Kaduna,Kaduna,Nigeria,43331,747791594069
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,1417 Lancaster Avenue,Northern Cape,Kimberley,South Africa,72192,272572357893
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1,1688 Okara Way,Nothwest Border Prov,Mardan,Pakistan,21954,144453869132
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,262 A Corua (La Corua) Parkway,Dhaka,Tangail,Bangladesh,34418,892775750063
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,28 Charlotte Amalie Street,Rabat-Sal-Zammour-Z,Sal,Morocco,37551,161968374323
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,1,1780 Hino Boulevard,Liepaja,Liepaja,Latvia,7716,902731229323
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,1,96 Tafuna Way,Crdoba,Crdoba,Argentina,99865,934730187245
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1,934 San Felipe de Puerto Plata Street,Sind,Shikarpur,Pakistan,99780,196495945706
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,1,18 Duisburg Boulevard,No district,Citt del Vaticano,Holy See (Vatican City State),58327,998009777982
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1,217 Botshabelo Place,Southern Mindanao,Davao,Philippines,49521,665356572025
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1,1425 Shikarpur Manor,Bihar,Munger (Monghyr),India,65599,678220867005
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1,786 Aurora Avenue,Yamaguchi,Shimonoseki,Japan,65750,18461860151
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,1,1668 Anpolis Street,Taipei,Lungtan,Taiwan,50199,525255540978
31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,1,33 Gorontalo Way,West Bengali,Kamarhati,India,30348,745994947458
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1,176 Mandaluyong Place,Uttar Pradesh,Jhansi,India,65213,627705991774
33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,1,127 Purnea (Purnia) Manor,Piemonte,Alessandria,Italy,79388,911872220378
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,1,61 Tama Street,Okayama,Kurashiki,Japan,94065,708403338270
35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,1,391 Callao Drive,Midi-Pyrnes,Toulouse,France,34021,440512153169
36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,1,334 Munger (Monghyr) Lane,Markazi,Arak,Iran,38145,481183273622
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,1,1440 Fukuyama Loop,Henan,Nanyang,China,47929,912257250465
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,1,269 Cam Ranh Parkway,Chisinau,Chisinau,Moldova,34689,489783829737
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,1,306 Antofagasta Place,Esprito Santo,Vila Velha,Brazil,3989,378318851631
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,1,671 Graz Street,Oriental,Nador,Morocco,94399,680768868518
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,1,42 Brindisi Place,Yerevan,Yerevan,Armenia,16744,42384721397
42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,1,1632 Bislig Avenue,Nonthaburi,Pak Kret,Thailand,61117,471675840679
43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,1,1447 Imus Way,Tahiti,Faaa,French Polynesia,48942,539758313890
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,1,1998 Halifax Drive,Lipetsk,Lipetsk,Russian Federation,76022,177727722820
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,1,1718 Valencia Street,Antofagasta,Antofagasta,Chile,37359,675292816413
46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,1,46 Pjatigorsk Lane,Moscow (City),Moscow,Russian Federation,23616,262076994845
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,1,686 Garland Manor,Cear,Juazeiro do Norte,Brazil,52535,69493378813
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,1,909 Garland Manor,Tatarstan,Niznekamsk,Russian Federation,69367,705800322606
49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,1,725 Isesaki Place,Mekka,Jedda,Saudi Arabia,74428,876295323994
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,1,115 Hidalgo Parkway,Khartum,Omdurman,Sudan,80168,307703950263
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,1,1135 Izumisano Parkway,California,Fontana,United States,48150,171822533480
